person,personLabel,university,universityLabel,birthplaceLabel,country,countryLabel,organisationLabel,yearfoundedLabel
http://www.wikidata.org/entity/Q2642577,Aleksander Loit,http://www.wikidata.org/entity/Q185246,Uppsala University,Pärnu,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6092668,Lennart Sandgren,http://www.wikidata.org/entity/Q218506,Lund University,Kalmar,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6179120,Carl Sjöström,http://www.wikidata.org/entity/Q218506,Lund University,Lund,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6185947,Carl Sprinchorn,http://www.wikidata.org/entity/Q218506,Lund University,Lund,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6218152,Algot Törneman,http://www.wikidata.org/entity/Q218506,Lund University,Sturefors,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6240806,John Wigforss,http://www.wikidata.org/entity/Q218506,Lund University,Karlshamn,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2706401,Abraham Langlet,http://www.wikidata.org/entity/Q185246,Uppsala University,Södertälje,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2745777,Per Anger,http://www.wikidata.org/entity/Q185246,Uppsala University,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5039764,Carl-Göran Ekerwald,http://www.wikidata.org/entity/Q185246,Uppsala University,Östersund,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6159144,Salomon von Otter,http://www.wikidata.org/entity/Q218506,Lund University,Dala socken,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2846475,Anders Spole,http://www.wikidata.org/entity/Q185246,Uppsala University,Barnarp parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6179271,Harald Sjövall,http://www.wikidata.org/entity/Q218506,Lund University,Trelleborg,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2642577,Aleksander Loit,http://www.wikidata.org/entity/Q185246,Uppsala University,Pärnu,http://www.wikidata.org/entity/Q191,Estonia,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4990062,Hanna Wagenius,http://www.wikidata.org/entity/Q185246,Uppsala University,Bruksvallarna,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6186446,Samuel Stadener,http://www.wikidata.org/entity/Q218506,Lund University,Asarum socken,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6203635,Carl Olof Tamm,http://www.wikidata.org/entity/Q218506,Lund University,Maria Magdalena parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6306988,Claes Lindskog,http://www.wikidata.org/entity/Q218506,Lund University,Göteborgs Carl Johans parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q4993033,Carl Gustaf Nordin,http://www.wikidata.org/entity/Q185246,Uppsala University,Storkyrkoförsamlingen,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6096004,Yngve Schaar,http://www.wikidata.org/entity/Q218506,Lund University,Fjälkinge församling,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6083142,Olof Ruin,http://www.wikidata.org/entity/Q218506,Lund University,Helsinki,http://www.wikidata.org/entity/Q33,Finland,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2617775,Gustaf Adlerfelt,http://www.wikidata.org/entity/Q185246,Uppsala University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2760093,Anders Knutsson Ångström,http://www.wikidata.org/entity/Q185246,Uppsala University,Adolf Fredriks parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6228206,Johan Anders Wadman,http://www.wikidata.org/entity/Q218506,Lund University,Drottningskär,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6228533,Ruben Wagnsson,http://www.wikidata.org/entity/Q218506,Lund University,Örebro,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6146610,Robert Lamm,http://www.wikidata.org/entity/Q218506,Lund University,Täby parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6170590,Henrik Schönbeck,http://www.wikidata.org/entity/Q218506,Lund University,Malmö,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2600492,Yngve Brilioth,http://www.wikidata.org/entity/Q185246,Uppsala University,Västra Ed,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6088451,Albert Sahlin,http://www.wikidata.org/entity/Q218506,Lund University,Q70836504,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2785814,Gunnar Bucht,http://www.wikidata.org/entity/Q185246,Uppsala University,Stocksund,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2500507,Jonas Carlsson Dryander,http://www.wikidata.org/entity/Q185246,Uppsala University,Gothenburg,http://www.wikidata.org/entity/Q145,United Kingdom,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2640516,Per von Afzelius,http://www.wikidata.org/entity/Q185246,Uppsala University,Larv parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2940262,Ivar Afzelius,http://www.wikidata.org/entity/Q185246,Uppsala University,Uppsala Cathedral Assembly,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6206387,Fredrik Tersmeden,http://www.wikidata.org/entity/Q218506,Lund University,Tynnered,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6200578,Otto Sylwan,http://www.wikidata.org/entity/Q218506,Lund University,Q58517420,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6178293,Cornelius Sjöcrona,http://www.wikidata.org/entity/Q218506,Lund University,Q10518044,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6247752,Thorild Wulff,http://www.wikidata.org/entity/Q218506,Lund University,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q4990100,Lydia Wahlström,http://www.wikidata.org/entity/Q185246,Uppsala University,Q10718075,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2573976,Peter Ascanius,http://www.wikidata.org/entity/Q185246,Uppsala University,Aure,http://www.wikidata.org/entity/Q62651,Denmark-Norway,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6086850,Jesper Rönndahl,http://www.wikidata.org/entity/Q218506,Lund University,Veberöd,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q4992066,Hugo Hildebrand Hildebrandsson,http://www.wikidata.org/entity/Q185246,Uppsala University,Kungsholms parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2742678,Erik Karlsson Gyllenstierna,http://www.wikidata.org/entity/Q185246,Uppsala University,Limmared,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6167981,Frans Adolf von Schéele,http://www.wikidata.org/entity/Q218506,Lund University,Byarums parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
